Title,Link,Competencies
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,['Knowledge of Subject']
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,['S\nK']
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,['Knowledge of Subject']
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,['Knowledge of Subject']
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,['Knowledge of Subject']
,,[]
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,['Knowledge of Subject']
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,['Knowledge of Subject']
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,['Knowledge of Subject']
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,['Knowledge of Subject']
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,['Knowledge of Subject']
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,['Knowledge of Subject']
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,['Knowledge of Subject']
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,['Knowledge of Subject']
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,['Knowledge of Subject']
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,['Knowledge of Subject']
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,['Knowledge of Subject']
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,['Knowledge of Subject']
,,[]
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,['Knowledge of Subject']
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,['Knowledge of Subject']
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,['Sales Skills']
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,['Sales Skills']
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,['Knowledge of Subject']
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,['Knowledge of Subject']
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,['K\nS']
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,['Knowledge of Subject']
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,['Knowledge of Subject']
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,['B\nS']
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,['B\nP\nS']
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,['Knowledge of Subject']
,,[]
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,['Sales Skills']
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,['Knowledge of Subject']
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,['Knowledge of Subject']
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,['Knowledge of Subject']
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,['Knowledge of Subject']
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,['Knowledge of Subject']
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,['Problem Solving']
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,['Knowledge of Subject']
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,['Knowledge of Subject']
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,['Knowledge of Subject']
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,['Problem Solving']
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,['Problem Solving']
,,[]
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,['Knowledge of Subject']
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,['Knowledge of Subject']
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,['Knowledge of Subject']
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,['Problem Solving']
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,['Knowledge of Subject']
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,['Knowledge of Subject']
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,['Knowledge of Subject']
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,['Knowledge of Subject']
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,['Knowledge of Subject']
